"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"UNC010178978",1.129,1.109,1.036,1.295,1.438,1.1165,1.133,0.991
"UNC010181577",0.4845,0.7045,0.216,0.2115,0.428,0.6135,0.198,0.742
"UNC010184727",0.6215,0.63,0.549,0.6235,0.817,0.621,0.616,0.54
"UNC010185192",1.5215,1.484,1.336,1.5425,1.963,1.511,1.4465,1.353
"UNC010185393",0.285,0.433,0.449,0.2825,0.297,0.4055,0.2575,0.234
"UNC010191507",0.004,0.8865,0.925,0.941,0.01,0.004,0.0135,0.011
"UNC010192579",0.0245,1.201,1.152,0.9755,0.019,1.252,0.0195,1.222
"UNC010195425",0.0315,0.0365,1.032,0.035,0.029,0.0255,0.0305,1.056
"UNC010196350",1.249,1.2875,1.393,1.291,1.6,1.2415,1.388,1.175
"UNC010200282",0.128,0.1395,1.008,0.1665,0.139,0.1385,0.9405,1.017
"UNC010200437",0.281,0.2505,0.217,0.2665,0.176,0.1535,0.1845,0.233
"UNC010200461",0.142,0.1285,1.437,0.0225,0.104,0.1345,0.0205,0.112
"UNC010200704",0.265,0.264,0.214,0.274,0.271,0.27,0.253,0.212
"UNC010203492",0.749,0.751,0.049,0.8045,0.753,0.789,0.815,0.047
"UNC010204610",0.5635,0.545,0.012,0.434,0.284,0.5535,0.453,0.552
"UNC010223906",0.648,0.631,0.024,0.122,0.501,0.7435,0.853,0.022
"UNC010226751",0.1305,0.1285,0.658,0.112,0.551,0.1165,0.1105,0.103
"UNC010227990",0.466,0.4535,0.007,0.0075,0.01,0.4825,0.41,0.517
"UNC010232719",0.0705,0.09,0.081,0.077,0.084,0.0825,0.076,0.065
"UNC010235357",0.811,0.786,0.778,0.82,0.99,0.828,0.791,0.835
"UNC010236031",0.0865,0.091,0.996,0.088,0.157,0.082,1.0825,0.997
"UNC010238271",0.8895,0.833,0.78,0.878,1.144,0.8075,0.8465,0.748
"UNC010240951",2.3575,2.3225,2.068,2.414,2.817,2.216,2.207,2.052
"UNC010243790",0.0315,0.034,1.368,0.028,0.034,0.032,1.385,1.345
"UNC010255921",1.0895,0.025,0.024,1.136,0.023,0.027,0.0335,1.072
"UNC010257353",0.0725,0.07,1.059,1.134,0.032,0.0275,1.232,1.082
"UNC010259898",0.232,0.228,0.003,0.2615,0.192,0.018,0.23,0.005
"UNC010261606",0.077,0.0745,1.264,1.318,1.488,0.0705,0.077,1.322
"UNC010264693",0.587,0.6235,0.635,0.6315,0.684,0.719,0.5395,0.54
"UNC010270413",1.3315,0.073,0.05,1.464,0.122,0.071,0.061,1.396
"UNC010272312",0.036,0.906,0.867,0.0315,0.907,0.032,1.015,0.021
"UNC010273790",0.0375,0.0395,0.034,0.106,0.053,0.041,0.0945,0.03
"UNC010274154",0.053,1.0295,0.972,1.1005,0.099,0.051,1.0235,1.018
"UNC010275555",0.067,0.0825,0.833,0.0945,0.1,0.0815,0.8605,0.058
"UNC010278802",0.462,0.4395,0.024,0.446,0.282,0.455,0.0235,0.454
"UNC010282954",0.124,0.11,0.983,0.1085,0.14,0.083,1.221,0.07
"UNC010285573",0.013,0.016,0.392,0.781,0.016,0.0155,0.57,0.016
"UNC010291816",1.2245,1.219,0.026,1.3725,0.034,0.0365,1.345,0.029
"UNC010292027",1.139,1.0775,0.03,0.0275,0.942,0.0255,1.065,1.105
"UNC010292970",0.643,0.599,0.009,0.5905,0.431,0.6725,0.2015,0.588
"UNC010295757",0.6295,0.579,0.008,0.5215,0.017,0.0115,0.4765,0.014
"UNC010296421",1.0495,0.0015,0.009,0.002,0,1.15,1.043,0.004
"UNC010297799",0.0145,0.014,0.795,0.023,0.491,0.014,0.0145,0.015
"UNC010300060",0.4805,0.513,0.013,0.011,0.332,0.5035,0.0125,0.541
"UNC010302547",0.151,0.1715,0.19,0.1635,0.181,0.151,0.152,0.137
"UNC010307063",0.692,0.0085,0.016,0.622,0.009,0.738,0.6315,0.006
"UNC010309080",0.9105,0.9175,0.843,0.9415,1.235,0.92,0.8675,0.825
"UNC010309729",0.4865,0.484,0.465,0.5225,0.678,0.4665,0.48,0.477
"UNC010313115",0.021,0.0335,0.585,0.03,0.022,0.0245,0.032,0.082
"UNC010313174",0.0205,0.018,1.094,5e-04,0.018,0.019,0,0.022
"UNC010313299",0.615,0.0165,0.025,0.5935,0.009,0.6005,0.0165,0.01
"UNC010313917",0.016,0.6655,0.677,0.374,0.013,0.012,0.504,0.014
"UNC010317552",0.026,0.038,0.033,0.0325,0.028,0.041,0.0445,1.244
"UNC010320533",0.2565,0.2585,0.236,0.0955,0.233,0.2445,0.228,0.119
"UNC010321756",1.154,1.2165,0.032,0.032,1.234,0.035,0.0345,0.031
"UNC010324008",0.8655,1.0255,0.988,0.8905,0.977,0.831,0.786,0.739
"UNC010325547",0.0435,1.1645,1.12,0.056,1.408,0.0085,0.013,0.047
"UNC010326093",0.497,0.505,0.467,0.5035,0.561,0.4975,0.46,0.507
"UNC010331745",0.998,0.9765,0.029,1.0295,0.021,0.0265,1.103,0.016
"UNC010332173",0.198,0.2105,0.055,0.013,0.028,0.9075,0.139,0.991
"UNC010332330",1.02,0.0715,0.057,1.076,0.074,1.063,0.9545,0.06
"UNC010333272",1.0675,0.036,0.035,1.2165,0.075,0.0405,1.2015,0.034
"UNC010337609",0.028,0.0285,0.874,0.8225,0.015,0.0305,0.804,0.032
"UNC010346837",1.139,0.003,0,0.003,0.003,0.0025,1.1775,1.238
"UNC010353604",1.043,0.0715,0.008,1.189,0.175,0.077,1.1915,0.071
"UNC010361641",0.027,0.0355,0.514,0.0465,0.041,0.032,0.0415,0.03
"UNC010362215",0.265,0.258,0.193,0.262,0.307,0.2415,0.2765,0.218
"UNC010364852",0.089,0.095,0.333,0.295,0.085,0.0655,0.072,0.089
"UNC010372809",2.155,2.0495,1.94,2.1625,2.687,2.1115,2.2375,1.857
"UNC010380537",0.0655,0.0605,0.655,0.703,0.047,0.0445,0.043,0.055
"UNC010383677",0.942,0.9265,0.47,1.0195,1.155,0.889,1.0225,0.811
"UNC010390757",0.6355,0.0085,0.018,0.0075,0.564,0.639,0.653,0.639
"UNC010391819",0.064,0.0215,0.037,0.013,0.068,0.063,0.0215,0.022
"UNC010396152",0.865,0.0035,0.008,0.0065,0.907,0.902,0.0025,0.002
"UNC010398263",0.0205,0.7715,0.804,0.024,0.022,0.0205,0.019,0.018
"UNC010401117",1.042,1.05,0.028,0.059,1.141,0.058,1.0855,0.026
"UNC010406467",2.0795,1.9445,1.849,2.0645,2.347,1.979,1.9025,1.852
"UNC010409945",1.0045,0.012,0.99,0.013,0.013,0.023,0.0225,0.014
"UNC010411487",0.1585,0.0345,0.552,0.04,0.156,0.041,0.5845,0.476
"UNC010411561",1.6795,1.643,0.015,0.0225,1.651,1.658,0.014,0.009
"UNC010414123",0.073,0.0575,1.145,0.045,0.043,1.1525,0.0655,0.072
"UNC010425514",0.001,0.6545,0.639,0.606,0.557,0.67,0.007,0.001
"UNC010426497",0.0075,0.0085,1.132,0.0055,0.014,1.202,0.0095,1.142
"UNC010427659",0.711,0.744,0.026,0.0205,0.02,0.0205,0.01,0.814
"UNC010429345",1.117,1.159,0.073,1.357,1.311,1.151,1.2915,0.067
"UNC010430525",0.0935,0.056,1.196,1.484,0.083,0.0785,1.42,1.225
"UNC010432535",0.0075,0.0095,0.526,0.598,0.008,0.0035,0.009,0.01
"UNC010436114",0.997,1.0825,1.079,0.9685,1.103,0.926,1.1655,1.034
"UNC010436225",1.687,1.6745,1.696,0.6255,1.113,1.7165,1.751,1.208
"UNC010437200",1.0045,0.989,0.96,1.102,1.209,1.021,1.1485,0.894
"UNC010440650",0.418,0.386,0.059,0.39,0.219,0.3975,0.273,0.408
"UNC010440696",1.3605,1.2915,1.135,1.3265,1.864,1.265,1.3135,1.207
"UNC010440931",0.097,0.0795,0.433,0.0715,0.112,0.3785,0.063,0.403
"UNC010442447",0.4,0.3895,0.056,0.3765,0.394,0.37,0.067,0.386
"UNC010442706",0.0985,0.1075,0.742,0.202,0.192,0.0955,0.203,0.732
"UNC010443328",0.176,0.4115,0.435,0.195,0.37,0.1465,0.19,0.132
"UNC010443604",0.0975,0.168,0.159,0.0805,0.091,0.17,0.149,0.086
"UNC010443677",0.052,1.421,1.423,0.0605,0.045,1.4425,1.58,0.044
"UNC010445083",0.552,0.5585,0.475,0.565,0.684,0.5395,0.5235,0.448
"UNC010445227",0.796,0.7035,0.577,0.8445,0.844,0.6575,0.673,0.654
"UNC010446561",1.226,1.228,0.04,0.0525,1.389,1.2505,0.042,1.189
"UNC010454761",0.233,0.228,0.261,0.226,0.271,0.2225,0.2,0.185
"UNC010455233",1.2435,1.212,1.122,1.2845,1.614,1.224,1.2055,1.064
"UNC010456529",1.0595,1.1415,0.501,1.4375,1.206,1.152,1.3625,0.507
"UNC010456754",0.027,0.0225,0.529,0.0315,0.027,0.0165,0.015,0.547
"UNC010456807",0.7325,0.7,0.702,0.7385,0.863,0.6785,0.716,0.62
"UNC010457067",5e-04,0.0025,0.644,0.3505,0.281,0.005,0.4055,0.009
"UNC010458091",0.029,0.0235,1.153,1.2405,0.045,0.036,1.225,0.018
"UNC010458425",0.1445,0.157,0.023,0.0915,0.144,0.3565,0.061,0.279
"UNC010460280",0.536,0.5435,0.022,0.586,0.476,0.537,0.0305,0.525
"UNC010460512",0.1105,0.409,0.308,0.117,0.311,0.035,0.0955,0.035
"UNC010461917",0.26,0.1985,0.554,0.204,0.654,0.5925,0.2095,0.578
"UNC010463165",0.06,0.055,1.156,0.1145,0.053,0.057,0.062,0.047
"UNC010464666",0.638,0.6505,0.797,0.625,1.01,0.8055,0.62,0.786
"UNC010465120",0.0315,0.0275,0.74,0.5675,0.045,0.024,0.907,0.807
"UNC010471807",0.931,0.9435,0.863,0.783,1.118,0.9755,0.964,0.933
"UNC010475009",0.2955,0.2945,0.304,0.2745,0.328,0.281,0.3115,0.276
"UNC010475128",1.1675,1.1395,0.013,1.0645,1.028,1.21,1.116,0.017
"UNC010477123",0.665,0.6095,0.863,0.573,0.602,0.5845,0.5985,0.81
"UNC010486741",0.1325,0.1385,0.896,0.2145,0.241,0.204,0.0975,0.189
"UNC010489002",0.21,0.213,0.821,0.2695,0.279,0.2155,0.235,0.235
"UNC010493664",1.4295,1.358,1.255,1.423,1.716,1.3435,1.379,1.296
"UNC010494226",0.237,1.043,1.079,0.247,0.27,1.0175,0.2285,0.219
"UNC010498389",0.029,0.0335,0.415,0.039,0.03,0.0415,0.0335,0.434
"UNC010500125",0.2045,0.1855,0.385,0.1685,0.298,0.17,0.149,0.135
"UNC010515443",0.097,0.801,0.026,0.797,0.092,0.0225,0.738,0.055
"UNC010515539",0.769,0.054,0.66,0.047,0.685,0.052,0.045,0.043
"UNC010515556",0.159,0.5665,0.144,0.372,0.362,0.55,0.4325,0.151
"UNC010516347",0.456,0.546,0.396,0.5745,0.49,0.498,0.4375,0.786
"UNC010518203",0.1625,0.2035,0.12,0.145,0.151,0.1825,0.197,0.125
"UNC010520877",0.068,0.8825,0.013,0.055,0.707,0.9455,0.9495,0.048
"UNC010523171",1.228,1.199,1.087,1.345,1.321,1.178,1.29,1.097
"UNC010523586",0.164,0.8355,0.099,0.125,0.71,0.0975,0.8195,0.859
"UNC010529057",1.079,0.041,1.017,0.0945,0.04,0.039,0.035,0.033
"UNC010530301",0.956,0.998,0.855,1.02,1.227,0.9755,1.079,0.913
"UNC010530523",0.843,0.0195,0.805,0.007,0.012,0.027,0.0215,0.847
"UNC010530843",0.9195,0.9365,0.863,0.925,1.27,0.928,0.9985,0.866
"UNC010532674",0.738,0.7055,0.623,0.8035,0.933,0.674,0.722,0.602
"UNC010535074",0.0395,1.0225,0.031,0.0355,0.984,1.0235,0.2345,0.031
"UNC010537386",0.8675,0.0805,0.785,0.036,0.086,0.0625,0.0255,0.031
"UNC010539663",0.1415,1.0495,0.167,0.0605,1.165,1.113,0.02,0.028
"UNC010540261",0.7095,0.018,0.872,0.6455,0.71,0.035,0.0095,0.023
"UNC010542162",0.995,0.251,1.082,0.161,0.145,0.123,0.1465,0.11
"UNC010549141",1.256,0.0235,1.241,0.0315,0.024,1.2485,0.0415,1.214
"UNC010551393",0.932,0.0385,0.912,0.9335,0.196,0.8275,0.0265,0.04
"UNC010551883",1.027,0.0885,0.978,0.0915,0.162,0.0595,0.0525,0.981
"UNC010559810",0.938,0.04,0.964,0.0215,0.029,0.043,0.023,0.017
"UNC010561617",0.0495,0.887,0.036,0.8805,0.697,0.038,0.816,0.898
"UNC010564849",0.195,0.991,0.145,0.896,0.961,0.16,0.063,0.884
"UNC010573492",1.134,0.0575,1.149,0.103,0.105,1.222,0.0555,1.269
"UNC010577197",0.0295,0.651,0.148,1.085,0.717,0.6945,0.9045,0.051
"UNC010577570",0.05,0.712,0.054,0.0375,0.518,0.058,0.728,0.741
"UNC010584488",1.13,0.3005,1.151,0.3025,0.31,1.14,0.276,0.287
"UNC010584825",1.2555,1.3055,1.034,1.2875,1.373,1.3385,1.331,1.059
"UNC010585017",0.1695,0.179,0.998,0.122,0.213,0.1495,1.16,1.03
"UNC010586869",1.307,0.0825,1.227,0.0775,0.079,1.401,1.4755,0.067
"UNC010587389",0.3115,0.3475,0.271,0.363,0.408,0.279,0.2955,0.277
"UNC010587748",0.0185,0.4,0.007,0.035,0.024,0.4245,0.1605,0.002
"UNC010594638",1.1845,0.077,1.12,0.102,0.076,0.077,1.2825,0.022
"UNC010598118",0.6915,0.61,0.547,0.714,0.893,0.5895,0.631,0.544
"UNC010598421",0.5585,0.0065,0.419,0.0075,0.005,0.0075,0.0075,0.474
"UNC010608455",0.5265,0.6345,0.07,0.038,0.52,0.5525,0.6145,0.584
"UNC010609322",0.0055,0.6665,0.004,0.7245,0.008,0.6415,0.0075,0.003
"UNC010610452",0.8775,1.0115,0.926,0.894,1.325,1.0235,0.879,0.976
"UNC010617125",1.688,1.613,1.588,1.7735,2.141,1.5615,1.654,1.489
"UNC010617990",5e-04,0.4945,0.003,0.453,0,0.5225,0.4535,0.004
"UNC010621409",0.0815,0.7295,0.061,0.031,0.572,0.0785,0.063,0.669
"UNC010629297",0.0155,1.11,0.015,0.0345,1.109,1.139,1.175,0.016
"UNC010630474",0.0055,0.5135,0.006,0.0075,0.448,0.4095,0.279,0.002
"UNC010636744",1.3825,0.0315,1.312,0.017,1.338,1.343,0.0235,1.341
"UNC010637850",0.0055,0.0075,0.712,5e-04,0.006,0.006,0.005,0.012
"UNC010639880",0.3325,0.1285,0.303,0.1455,0.168,0.3315,0.1455,0.141
"UNC010641974",1.482,1.471,1.288,1.5455,1.97,1.4265,1.4315,1.272
"UNC010647417",0.0045,0.006,0.68,0.006,0.007,0.0085,0.0105,0.011
"UNC010657787",1.659,1.621,1.534,1.5815,1.985,1.583,1.5105,1.446
"UNC010659703",1.204,0.0355,1.104,0.058,1.231,1.1995,0.0345,0.036
"UNC010667356",0.002,0.8755,0.003,5e-04,0,0.793,0.0035,0.813
"UNC010672269",1.4525,1.4025,1.338,1.483,1.871,1.429,1.376,1.305
"UNC010674652",0.918,0.0425,0.863,0.0665,0.058,0.8995,0.9275,0.051
"UNC010680647",1.076,0.0355,1.091,0.011,1.005,1.118,0.0135,0.017
"UNC010680950",1.4015,0.046,1.276,0.0315,1.682,1.343,0.048,1.342
"UNC010687234",0.0765,0.1385,0.212,0.061,0.28,1.293,1.1515,1.317
"UNC010709367",0.214,0.2165,0.191,0.199,0.235,0.1845,0.1785,0.156
"UNC010712538",0.4905,0.4705,0.474,0.0365,0.035,0.102,0.03,0.039
"UNC010715287",0.5665,0.5535,0.707,0.05,0.296,0.583,0.034,0.046
"UNC010720695",0.8505,0.807,0.822,0.8835,1.046,1.2175,1.152,1.332
"UNC010729195",1.078,1.0935,1.1,0.0225,0.004,0.0305,0.022,0.022
"UNC010731340",0.026,0.0285,0.027,0.8735,0.806,0.0225,0.8435,0.021
"UNC010739232",0.007,0.006,0.174,0.029,0.008,0.009,0.017,0.021
"UNC010756120",0.895,0.954,0.95,0.0365,0.099,0.9595,0.9765,0.08
"UNC010767722",0.079,0.0695,0.062,1.1825,1.218,0.0715,0.071,1.135
"UNC010798457",1.2335,1.2475,1.255,1.2455,1.668,1.284,1.2645,1.28
"UNC010808822",0.1115,0.105,0.399,0.1155,0.157,0.1275,0.138,0.104
"UNC010829068",0.8945,1.0155,0.859,0.042,1.102,0.0435,0.995,0.045
"UNC010836178",0.0245,0.023,0.026,0.9025,0.986,1.0225,1.069,1.039
"UNC010867890",0.0725,0.0615,0.069,0.072,0.066,0.11,0.0625,0.054
"UNC010868145",0.004,1.374,0.012,0.0615,1.601,0.0155,1.699,0.046
"UNC010868925",0.875,0.924,0.901,0.0295,0.019,0.021,0.949,0.911
"UNC010872195",0.7405,0.0095,0.886,0.6795,0.005,0.0065,0.011,0.929
"UNC010873548",0.8975,0.042,0.81,0.087,0.051,0.1,0.03,0.08
"UNC010878755",1.475,1.367,1.408,1.5815,1.466,1.4585,1.635,1.469
"UNC010892229",0.3165,0.317,0.111,0.1065,1.056,0.842,0.109,0.749
"UNC010893064",0.0395,0.6515,0.065,0.525,0.02,0.7185,0.6425,0.821
"UNC010897473",0.0855,0.0925,0,0.0845,0.04,0.052,0.07,0.084
"UNC010905835",0.0145,0.0095,0.007,0.475,0.016,0.4255,0.012,0.414
"UNC010943432",1.937,1.7685,1.636,1.8685,2.254,1.7405,1.777,1.617
"UNC010961842",1.252,1.207,1.143,0.059,0.091,1.201,0.084,1.154
"UNC010967657",0.6955,0.6685,0.655,0.7685,0.873,0.674,0.623,0.674
"UNC010984546",0.232,0.1995,0.04,0.178,0.137,0.1995,0.196,0.033
"UNC010985001",0.455,0.352,0.363,0.3635,0.415,0.4105,0.3525,0.293
"UNC011026542",0.7565,0.688,0.61,0.0155,0.024,0.7115,0.023,0.663
"UNC011275068",1.219,1.2755,1.258,0.0735,1.144,0.0865,0.057,0.074
"UNC011311574",0.8875,0.866,0.884,0.034,0.814,0.882,0.029,0.032
"UNC011325355",0.0495,0.0515,0.039,1.0045,0.054,0.883,0.9705,0.906
"UNC011335784",1.0695,0.998,1.022,0.0305,0.022,1.016,0.0175,0.02
"UNC011342783",0.0715,0.073,0.061,1.6395,0.203,1.491,0.024,1.491
"UNC011347842",1.3165,1.2285,1.217,0.03,0.033,1.231,0.038,0.018
"UNC011510234",0.88,0.8485,0.811,0.0375,0.773,0.8045,0.0315,0.024
"UNC011675366",1.3565,1.2905,1.267,0.0225,1.403,0.0175,0.0215,1.279
"UNC011787714",0.3745,0.3555,0.337,0.004,0.278,0.0015,0.0035,0.003
"UNC011819339",0.006,0.0045,0,0.3195,0.153,0.241,0.231,0.296
"UNC011881810",0.022,0.0225,0.026,1.287,0.015,0.0225,1.2915,1.256
"UNC011909338",1.2605,1.234,1.153,1.322,1.672,1.2255,1.2535,1.138
"UNC012029092",0.4795,0.509,0.638,0.531,0.369,0.5335,0.4845,0.375
"UNC012035201",1.034,1.0855,1.061,0.0075,0.028,0.015,0.0115,1.075
"UNC012050066",0.8655,0.8405,0.779,0.9065,1.045,0.831,0.8185,0.825
"UNC012187196",0.0225,1.356,1.416,0.2285,0.248,0.0135,0.229,0.032
"UNC012239416",0.0055,1.0245,0.959,1.055,0.012,0.008,0.0145,0.013
"UNC012313162",0.0835,0.101,0.083,0.0675,0.089,0.0735,0.06,0.05
"UNC012331510",0.5175,0.494,0.56,0.525,0.01,0.005,0.4305,0.002
"UNC012380738",1.1555,1.181,1.094,1.093,1.291,0.026,0.035,0.024
"UNC020000773",0.921,0.9095,0.805,0.8915,0.838,0.802,1.079,0.887
"UNC020001187",0.066,0.077,0.058,0.0485,0.087,0.0605,0.0455,0.044
"UNC020003180",0.089,1.205,1.175,0.028,1.372,1.2325,0.092,0.095
"UNC020004449",0.0465,0.051,0.053,0.047,0.051,0.049,0.0475,0.044
"UNC020006684",0.062,0.076,1.108,0.0035,0.029,0.067,0.0055,0.075
"UNC020006990",0.803,0.0245,0.023,0.989,0.015,0.021,1.0825,1.019
"UNC020007086",0.7325,0.0415,0.033,0.827,0.044,0.0365,0.728,0.67
"UNC020009217",0.455,0.4345,0.649,0.4635,0.59,0.4435,0.4155,0.383
"UNC020009908",0.021,0.881,0.891,0.02,0.026,0.857,0.026,0.894
"UNC020009973",0.708,0.686,0.631,0.7095,0.758,0.6975,0.72,0.666
"UNC020011798",0.8775,0.865,0.744,0.8975,1.1,0.779,0.819,0.745
"UNC020012706",0.047,1.2335,1.202,0.027,1.348,1.209,0.02,1.177
"UNC020012740",0.0015,0.004,0.868,0.005,0.007,0.0025,0.0015,0.002
"UNC020014453",0.0445,0.0565,0.757,0.1815,0.038,0.055,0.091,0.888
"UNC020015197",0.0515,1.6785,1.54,0.067,2.073,1.688,0.0735,1.602
"UNC020017461",0.8635,0.0715,0.069,1.014,0.082,0.0695,0.5435,0.975
"UNC020019262",0.0345,0.038,1.445,1.62,0.051,0.0345,0.045,1.378
"UNC020019348",0.561,0.5505,0.05,0.486,0.344,0.586,0.541,0.624
"UNC020019473",0.6595,0.652,0.595,0.7085,0.805,0.663,0.6985,0.597
"UNC020019535",2.4665,2.4275,2.318,2.536,2.872,2.3825,2.4315,2.246
"UNC020019651",0.7115,0.6855,0.027,0.023,0.723,0.641,0.0245,0.024
"UNC020020374",0.0375,0.046,1.249,0.061,0.062,0.046,0.051,1.302
"UNC020020889",0.3905,0.359,0.314,0.379,0.425,0.35,0.399,0.353
"UNC020021506",0.768,0.768,0.027,0.727,0.575,0.792,0.7205,0.029
"UNC020022708",0.614,0.6325,0.618,0.698,0.747,0.5915,0.597,0.572
"UNC020027313",0.0605,0.0715,0.188,0.12,0.05,0.0675,0.067,0.067
"UNC020028362",0.3725,0.3715,0.347,0.3915,0.372,0.3405,0.3355,0.31
"UNC020028580",0.038,0.0325,1.131,0.0325,0.027,0.037,0.0385,0.031
"UNC020029748",1.518,1.5585,1.475,1.537,2.056,1.523,1.493,1.517
"UNC020032159",0.016,0.0175,1.076,0.017,0.003,0.0165,0.0115,0.011
"UNC020034415",0.9385,0.888,0.865,0.9845,1.145,0.955,0.9165,0.839
"UNC020035088",0.053,0.0475,0.589,0.466,0.3,0.05,0.342,0.046
"UNC020035270",0.498,0.5,0.548,0.578,0.632,0.5445,0.5215,0.569
"UNC020036328",0.0675,0.066,0.993,0.071,0.94,0.0595,0.9905,1.053
"UNC020039064",0.8265,0.842,0.755,0.8355,1.093,0.801,0.835,0.794
"UNC020039335",2.439,2.421,2.272,2.5645,2.995,2.42,2.392,2.194
"UNC020042201",0.767,0.796,0.002,0.851,0.678,0.7805,0.806,0.874
"UNC020043159",0.08,0.121,0.066,0.0795,0.113,0.1035,0.0825,0.069
"UNC020049909",0.0015,0.7355,0.794,5e-04,0.462,0.761,0.0055,0.803
"UNC020050715",0.018,0.022,0.596,0.0195,0.022,0.6595,0.019,0.018
"UNC020060188",0.6285,0.67,0.014,0.54,0.275,0.0195,0.578,0.02
"UNC020065203",0.9675,0.8925,0.846,0.9055,1.06,0.876,0.968,0.868
"UNC020066534",0.991,0.9735,0.953,1.001,1.237,1.015,0.9655,0.957
"UNC020066636",0.1315,0.1355,0.353,0.07,0.154,0.3585,0.0725,0.125
"UNC020069401",0.6925,0.676,0.042,0.788,0.681,0.036,0.091,0.62
"UNC020072541",1.75,1.7775,1.737,1.8475,2.265,1.778,1.7735,1.8
"UNC020073469",0.68,0.6345,0.764,0.769,0.857,0.676,0.6635,0.768
"UNC020076037",0.7155,0.7145,0.509,0.6905,0.852,0.703,0.693,0.658
"UNC020076909",0.0995,0.1105,0.085,0.098,0.121,0.0975,0.0975,0.086
"UNC020076963",0.816,0.728,0.012,0.0225,0.522,0.786,0.014,0.818
"UNC020077072",0.3065,0.363,0.462,0.438,0.395,0.465,0.392,0.453
"UNC020078645",0.1545,0.1845,0.171,0.123,0.08,0.1915,0.091,0.03
"UNC020082934",1.4285,1.5595,1.427,1.551,1.931,1.475,1.572,1.439
"UNC020085719",0.061,0.017,0.017,0.044,0.149,0.017,0.015,0.37
"UNC020086184",0.033,1.035,1.046,0.021,0.027,1.0375,1.038,1.111
"UNC020087824",1.075,0.02,0.016,0.1275,0.02,0.0165,1.0565,1.078
"UNC020089575",0.038,1.1915,1.132,0.04,0.038,0.038,0.032,0.043
"UNC020091694",0.9205,0.006,0.007,0.891,0.782,0.936,0.86,0.874
"UNC020093056",0.8045,0.8065,0.74,0.866,1.047,0.78,0.79,0.744
"UNC020093982",0.0395,0.0365,1.118,0.0505,0.036,0.035,0.047,1.178
"UNC020094649",1.236,1.2455,0.032,0.0605,1.325,1.1995,0.054,1.205
"UNC020095069",0.9105,1.008,0.245,1.0045,0.958,0.9715,0.98,0.83
"UNC020095677",0.5695,0.548,0.467,0.604,0.727,0.537,0.562,0.483
"UNC020096714",0.2415,0.5255,1.028,0.373,0.482,1.089,1.061,1.022
"UNC020097135",0.0705,0.0765,0.574,0.0125,0.066,0.0015,0.0075,0.006
"UNC020097695",0.3795,0.3435,0.018,0.0175,0.065,0.029,0.0175,0.471
"UNC020097804",1.247,1.222,0.035,0.06,1.386,0.056,1.403,0.049
"UNC020098303",1.0445,1.033,0.997,1.0115,1.128,1.0725,0.944,1.024
"UNC020099315",0.0585,0.06,1.297,1.434,0.037,0.061,0.0555,1.301
"UNC020101027",1.8985,1.9285,1.889,2.0145,2.354,1.858,1.938,1.758
"UNC020103640",0.013,1.0565,1.018,1.099,0.953,0.0155,0.017,1.117
"UNC020107351",0.988,1.0375,1.131,0.9675,1.382,1.1215,1.1135,1.164
"UNC020108188",0.1005,0.1045,0.091,0.0965,0.123,0.125,0.092,0.141
"UNC020108301",0.927,0.0375,0.037,1.0215,1.115,0.9995,0.051,1.031
"UNC020110975",1.1055,1.1085,1.159,1.2795,1.455,1.068,1.24,0.998
"UNC020114284",0.2905,0.271,0.608,0.2665,0.652,0.654,0.2895,0.686
"UNC020117511",0.0275,0.0055,0.248,0.0165,0.012,0.007,0.015,0.02
"UNC020122133",0.3025,0.2935,0.529,0.343,0.42,0.291,0.3625,0.23
"UNC020122371",1.1055,1.107,1.021,1.1755,1.48,1.1,1.16,1.055
"UNC020122646",2.5905,2.6585,2.561,2.6975,3.185,2.5935,2.6315,2.498
"UNC020126081",0.044,0.041,0.027,0.0595,0.043,0.0415,0.045,0.014
"UNC020126999",0.32,0.1105,0.319,0.095,0.116,0.3205,0.1115,0.316
"UNC020127485",1.0515,0.027,0.018,0.023,0.937,1.032,1.038,1.026
"UNC020127806",0.0545,0.0475,0.033,0.051,0.058,0.0515,0.0485,0.033
"UNC020130832",0.022,1.0335,1.093,1.193,0.023,0.0185,1.1795,0.035
"UNC020131505",0.038,1.8005,1.547,0.0485,0.059,1.7405,0.0465,0.027
"UNC020131877",1.2505,1.1875,0.014,0.033,1.309,1.2105,1.009,0.016
"UNC020133473",0.231,0.024,0.024,0.0225,0.21,0.2045,0.0265,0.205
"UNC020133662",1.2355,0.031,0.021,0.0365,1.22,1.1765,1.2905,0.026
"UNC020137035",0.9405,0.977,1.212,0.9315,1.463,1.1635,1.156,1.21
"UNC020137208",0.4505,0.401,0,0.312,0.174,0.418,0,0
"UNC020138994",0.352,0.3485,0.086,0.3445,0.278,0.3655,0.1695,0.443
"UNC020139805",0.0275,0.039,0.928,1.1105,0.04,0.0365,1.0545,0.034
"UNC020140262",0.031,0.901,0.94,0.041,0.024,0.9355,0.043,0.921
"UNC020142980",1.176,1.1975,0.768,1.0415,1.001,1.2385,1.377,0.828
"UNC020145783",0.891,0.9855,0.029,0.037,0.045,0.035,0.9765,0.945
